Layer, Layer attribute, Layer name, #input feature maps(C), Input Height(H), Input Width(W), #output feature maps(K), Filter Height(R), Filter Width(S), Zero Padding(Z), Vertical Conv Srtide(H), Horizontal Conv Stride(V), Height after Conv(P), Width after Conv(Q), Pooling after Conv, Pooling Height(D), Pooling Width(E), Vertical pooling stride(F), Horizontal pooling stride(G), Height after Pooling(A), Height after Pooling(B), Calculation, Input data size, Output data size, Weight data size, DRAM Traffic, DRAM Cycles, MAC Cycles, MAX Cycle, Long Pole
1, conv,conv2d0, 3, 224, 224, 64, 7, 7, TRUE, 2, 2, 112, 112, TRUE, 3, 3, 2, 2, 56, 56, 118013952, 1568KB, 392KB, 24KB, 1984KB, 198400, 9834496, 9834496, MAC
2, conv,conv2d1, 64, 56, 56, 64, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 12845056, 392KB, 392KB, 8KB, 792KB, 79200, 200704, 200704, MAC
3, conv,conv2d2, 64, 56, 56, 64, 3, 3, TRUE, 1, 1, 56, 56,,,,,,,, 115605504, 392KB, 392KB, 72KB, 856KB, 85600, 1806336, 1806336, MAC
4, conv,conv2d3, 64, 56, 56, 256, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 51380224, 392KB, 1568KB, 32KB, 1992KB, 199200, 802816, 802816, MAC
5, conv,conv2d4, 64, 56, 56, 256, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 51380224, 392KB, 1568KB, 32KB, 1992KB, 199200, 802816, 802816, MAC
6, conv,conv2d5, 256, 56, 56, 64, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 51380224, 1568KB, 392KB, 32KB, 1992KB, 199200, 802816, 802816, MAC
7, conv,conv2d6, 64, 56, 56, 64, 3, 3, TRUE, 1, 1, 56, 56,,,,,,,, 115605504, 392KB, 392KB, 72KB, 856KB, 85600, 1806336, 1806336, MAC
8, conv,conv2d7, 64, 56, 56, 256, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 51380224, 392KB, 1568KB, 32KB, 1992KB, 199200, 802816, 802816, MAC
9, conv,conv2d8, 256, 56, 56, 64, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 51380224, 1568KB, 392KB, 32KB, 1992KB, 199200, 802816, 802816, MAC
10, conv,conv2d9, 64, 56, 56, 64, 3, 3, TRUE, 1, 1, 56, 56,,,,,,,, 115605504, 392KB, 392KB, 72KB, 856KB, 85600, 1806336, 1806336, MAC
11, conv,conv2d10, 64, 56, 56, 256, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 51380224, 392KB, 1568KB, 32KB, 1992KB, 199200, 802816, 802816, MAC
12, conv,conv2d11, 256, 56, 56, 128, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 102760448, 1568KB, 784KB, 64KB, 2416KB, 241600, 1605632, 1605632, MAC
13, conv,conv2d12, 128, 56, 56, 128, 3, 3, TRUE, 2, 2, 28, 28,,,,,,,, 115605504, 784KB, 196KB, 512KB, 1492KB, 149200, 1806336, 1806336, MAC
14, conv,conv2d13, 128, 28, 28, 512, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 51380224, 196KB, 784KB, 128KB, 1108KB, 110800, 802816, 802816, MAC
15, conv,conv2d14, 256, 56, 56, 512, 1, 1, FALSE, 2, 2, 29, 29,,,,,,,, 110231552, 1568KB, 841KB, 1024KB, 3433KB, 343300, 1722368, 1722368, MAC
16, conv,conv2d15, 512, 29, 29, 128, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 55115776, 841KB, 211KB, 128KB, 1180KB, 118000, 861184, 861184, MAC
17, conv,conv2d16, 128, 29, 29, 128, 3, 3, TRUE, 1, 1, 29, 29,,,,,,,, 124010496, 211KB, 211KB, 288KB, 710KB, 71000, 1937664, 1937664, MAC
18, conv,conv2d17, 128, 29, 29, 512, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 55115776, 211KB, 841KB, 128KB, 1180KB, 118000, 861184, 861184, MAC
19, conv,conv2d18, 512, 29, 29, 128, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 55115776, 841KB, 211KB, 128KB, 1180KB, 118000, 861184, 861184, MAC
20, conv,conv2d19, 128, 29, 29, 128, 3, 3, TRUE, 1, 1, 29, 29,,,,,,,, 124010496, 211KB, 211KB, 288KB, 710KB, 71000, 1937664, 1937664, MAC
21, conv,conv2d20, 128, 29, 29, 512, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 55115776, 211KB, 841KB, 128KB, 1180KB, 118000, 861184, 861184, MAC
22, conv,conv2d21, 512, 29, 29, 128, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 55115776, 841KB, 211KB, 128KB, 1180KB, 118000, 861184, 861184, MAC
23, conv,conv2d22, 128, 29, 29, 128, 3, 3, TRUE, 1, 1, 29, 29,,,,,,,, 124010496, 211KB, 211KB, 288KB, 710KB, 71000, 1937664, 1937664, MAC
24, conv,conv2d23, 128, 29, 29, 512, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 55115776, 211KB, 841KB, 128KB, 1180KB, 118000, 861184, 861184, MAC
25, conv,conv2d24, 512, 29, 29, 256, 1, 1, FALSE, 1, 1, 29, 29,,,,,,,, 110231552, 841KB, 421KB, 256KB, 1518KB, 151800, 1722368, 1722368, MAC
26, conv,conv2d25, 256, 29, 29, 256, 3, 3, TRUE, 2, 2, 15, 15,,,,,,,, 132710400, 450KB, 113KB, 2048KB, 2611KB, 261100, 2073600, 2073600, MAC
27, conv,conv2d26, 256, 15, 15, 1024, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 113KB, 450KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
28, conv,conv2d27, 512, 29, 29, 1024, 1, 1, FALSE, 2, 2, 15, 15,,,,,,,, 117964800, 900KB, 450KB, 4096KB, 5446KB, 544600, 1843200, 1843200, MAC
29, conv,conv2d28, 1024, 15, 15, 256, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 450KB, 113KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
30, conv,conv2d29, 256, 15, 15, 256, 3, 3, TRUE, 1, 1, 15, 15,,,,,,,, 132710400, 113KB, 113KB, 1152KB, 1378KB, 137800, 2073600, 2073600, MAC
31, conv,conv2d30, 256, 15, 15, 1024, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 113KB, 450KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
32, conv,conv2d31, 1024, 15, 15, 256, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 450KB, 113KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
33, conv,conv2d32, 256, 15, 15, 256, 3, 3, TRUE, 1, 1, 15, 15,,,,,,,, 132710400, 113KB, 113KB, 1152KB, 1378KB, 137800, 2073600, 2073600, MAC
34, conv,conv2d33, 256, 15, 15, 1024, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 113KB, 450KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
35, conv,conv2d34, 1024, 15, 15, 256, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 450KB, 113KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
36, conv,conv2d35, 256, 15, 15, 256, 3, 3, TRUE, 1, 1, 15, 15,,,,,,,, 132710400, 113KB, 113KB, 1152KB, 1378KB, 137800, 2073600, 2073600, MAC
37, conv,conv2d36, 256, 15, 15, 1024, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 113KB, 450KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
38, conv,conv2d37, 1024, 15, 15, 256, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 450KB, 113KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
39, conv,conv2d38, 256, 15, 15, 256, 3, 3, TRUE, 1, 1, 15, 15,,,,,,,, 132710400, 113KB, 113KB, 1152KB, 1378KB, 137800, 2073600, 2073600, MAC
40, conv,conv2d39, 256, 15, 15, 1024, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 113KB, 450KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
41, conv,conv2d40, 1024, 15, 15, 256, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 450KB, 113KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
42, conv,conv2d41, 256, 15, 15, 256, 3, 3, TRUE, 1, 1, 15, 15,,,,,,,, 132710400, 113KB, 113KB, 1152KB, 1378KB, 137800, 2073600, 2073600, MAC
43, conv,conv2d42, 256, 15, 15, 1024, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 58982400, 113KB, 450KB, 512KB, 1075KB, 107500, 921600, 921600, MAC
44, conv,conv2d43, 1024, 15, 15, 512, 1, 1, FALSE, 1, 1, 15, 15,,,,,,,, 117964800, 450KB, 225KB, 1024KB, 1699KB, 169900, 1843200, 1843200, MAC
45, conv,conv2d44, 512, 15, 15, 512, 3, 3, TRUE, 2, 2, 8, 8,,,,,,,, 150994944, 256KB, 64KB, 8192KB, 8512KB, 851200, 2359296, 2359296, MAC
46, conv,conv2d45, 512, 8, 8, 2048, 1, 1, FALSE, 1, 1, 8, 8,,,,,,,, 67108864, 64KB, 256KB, 2048KB, 2368KB, 236800, 1048576, 1048576, MAC
47, conv,conv2d46, 1024, 15, 15, 2048, 1, 1, FALSE, 2, 2, 8, 8,,,,,,,, 134217728, 512KB, 256KB, 16384KB, 17152KB, 1715200, 2097152, 2097152, MAC
48, conv,conv2d47, 2048, 8, 8, 512, 1, 1, FALSE, 1, 1, 8, 8,,,,,,,, 67108864, 256KB, 64KB, 2048KB, 2368KB, 236800, 1048576, 1048576, MAC
49, conv,conv2d48, 512, 8, 8, 512, 3, 3, TRUE, 1, 1, 8, 8,,,,,,,, 150994944, 64KB, 64KB, 4608KB, 4736KB, 473600, 2359296, 2359296, MAC
50, conv,conv2d49, 512, 8, 8, 2048, 1, 1, FALSE, 1, 1, 8, 8,,,,,,,, 67108864, 64KB, 256KB, 2048KB, 2368KB, 236800, 1048576, 1048576, MAC
51, conv,conv2d50, 2048, 8, 8, 512, 1, 1, FALSE, 1, 1, 8, 8,,,,,,,, 67108864, 256KB, 64KB, 2048KB, 2368KB, 236800, 1048576, 1048576, MAC
52, conv,conv2d51, 512, 8, 8, 512, 3, 3, TRUE, 1, 1, 8, 8,,,,,,,, 150994944, 64KB, 64KB, 4608KB, 4736KB, 473600, 2359296, 2359296, MAC
53, conv,conv2d52, 512, 8, 8, 2048, 1, 1, FALSE, 1, 1, 8, 8, TRUE, 7, 7, 1, 1, 2, 2, 67108864, 64KB, 16KB, 2048KB, 2128KB, 212800, 1048576, 1048576, MAC
54, fc,dense0, 2048, 2, 2, 1000, 2, 2, FALSE, 1, 1, 1, 1,,,,,,,, 8192000, 16KB, 2KB, 16000KB, 16018KB, 1601800, 129024, 1601800, DRAM
